exact filename,filename,|V|,|E|,size [kB],type,origin,description
exact_027,Bladder_Model.gr,30,70,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains human genes involved in tumorigenesis of bladder cells. Reference: Remy, E., Rebouissou, S., Chaouiya, C., Zinovyev, A., Radvanyi, Fran\c cois, & Calzone, L. (2015). A modeling approach to explain mutually exclusive and co-occurring genetic alterations in bladder tumorigenesis. Cancer Research, 75(19), 4042–4052. http://dx.doi.org/10.1158/0008-5472.CAN-15-0602"
exact_028,ENZYMES_g554.gr,31,64,0.5,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2017"
exact_029,aves-weaver-social-13.gr,32,119,0.8,social,networkrepository.com,"an animal social network. A network edge was drawn between individuals that used the same nest chambers either for roosting or nest-building at any given time within a series of observations at the same colony in the same year, either together in the nest chamber at the same time or at different times. Networks represent social data collected from 23 colonies of sociable weavers. From: van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141-1148."
exact_030,SuppMat_Model_Master_Model.gr,32,137,0.8,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes in the molecular pathways enabling tumour cell invasion and migration. Reference: Cohen, D. P. A., Martignetti, L., Robine, S., Barillot, E., Zinovyev, A., & Calzone, L. (2015). Mathematical modelling of molecular pathways enabling tumour cell invasion and migration. PLOS Computational Biology, 11(11), 1004571. http://dx.doi.org/10.1371/journal.pcbi.1004571"
exact_031,Collombet_model_Bcell_Macrophages_PNAS_170215.gr,33,78,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in macrophage differentiation. Reference: Collombet, S., van Oevelen, C., Ortega, J. L. S., Abou-Jaoud\'e, Wassim, Stefano, B. D., Thomas-Chollier, Morgane, Graf, T., … (2017). Logical modeling of lymphoid and myeloid cell specification and transdifferentiation. Proceedings of the National Academy of Sciences, 114(23), 5792–5799. http://dx.doi.org/10.1073/pnas.1610622114"
exact_032,karate_34.gr,34,78,0.8,social,www-personal.umich.edu/~mejn/netdata/,"Zachary's karate club: social network of friendships between 34 members of a karate club at a US university in the 1970s. Please cite W. W. Zachary, An information flow model for conflict and fission in small groups, Journal of Anthropological Research 33, 452-473 (1977)."
exact_033,Th_differentiation_reduced_model.gr,34,82,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in control of Th1/Th2/Th17/Treg cells differentiation. Reference: Naldi A, Carneiro J, Chaouiya C, Thieffry D (2010). Diversity and plasticity of th cell types predicted from regulatory network modelling. PLOS Computational Biology, 6(9), 1000912. http://dx.doi.org/10.1371/journal.pcbi.1000912"
exact_034,contiki_shell-base64_base64_decode_char.gr,35,42,0.2,computer science,github.com/freetdi/CFGs,A control-flow graph of a C function
exact_035,ENZYMES_g109.gr,35,70,0.6,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2004"
exact_036,ENZYMES_g427.gr,37,68,0.6,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2014"
exact_037,sasa04530.kgml.gr-0.gr,39,48,0.3,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""sasa04530 Tight junction - Salmo salar (Atlantic salmon)""."
exact_038,mun00071.kgml.gr-2.gr,39,62,0.3,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mun00071 Fatty acid degradation - Meriones unguiculatus (Mongolian gerbil)""."
exact_039,TCRsig40.gr,40,54,0.3,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the TCR signalling pathway. Reference: Klamt, S., Saez-Rodriguez, Julio, Lindquist, J. A., Simeoni, L., & Gilles, E. D. (2006). A methodology for the structural and functional analysis of signaling and regulatory networks. BMC Bioinformatics, 7(1), 1–26. http://dx.doi.org/10.1186/1471-2105-7-56"
exact_040,ENZYMES_g274.gr,40,73,0.6,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2008"
exact_041,planted_rand_tree_40+40e.gr,40,79,0.4,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_042,planted_weighted_cycle_9_4+18v+18e.gr,40,112,0.6,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_043,TCR-REDOX-METABOLISM_2019-07-26_reduced_0.gr,40,129,0.7,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network captures the interplay between antigen recognition with reactive oxygen species and metabolic status in T cell responses. S\'anchez-Villanueva, Jos\'e Antonio, Rodr\'iguez-Jorge, Otoniel, Ram\'irez-Pliego, Oscar, Salgado, G. R., Abou-Jaoud\'e, Wassim,Hernandez, C\'eline, Naldi, Aur\'elien, … (2019). Contribution of ros and metabolic status to neonatal and adult cd8+ t cell activation. PLOS ONE, 14(12), 0226388. http://dx.doi.org/10.1371/journal.pone.0226388"
exact_044,Ostrowite_Poland.gr,41,52,0.3,infrastracture,Open street maps,Ostrowite (Poland): a road network downloaded from open street maps using osmnx Python package
exact_045,expander-chordal-cycle_41.gr,41,58,0.4,generated,Python networkx package,A cycle graph on p nodes with chords joining each vertex x to its inverse modulo p. This graph is a (mildly explicit) 3-regular expander. Generated using chordal_cycle_graph function from Python’s networkx package
exact_046,ENZYMES_g418.gr,41,76,0.6,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2013"
exact_047,insecta-ant-trophallaxis-colony1.gr,41,256,1.6,social,networkrepository.com,"an animal social network. A trophallaxis event was recorded when ants engaged in mandible-to-mandible contact for greater than 1 s. Networks represent two C. pennsylvanicus colonies. Each colony was filmed for approximately 30 minutes for 8 consecutive nights. Citation: Quevillon, Lauren E., et al. ""Social, spatial, and temporal organization in a complex insect society."" Scientific reports 5 (2015)."
exact_048,WienerArayaGraph.gr,42,67,0.4,named,github.com/freetdi/named-graphs,"Wiener-Araya graph, see https://en.wikipedia.org/wiki/Wiener%E2%80%93Araya_graph"
exact_049,RodriguezJorge_TLR5_Signalling_BooleanModel_17Jul2018.gr,42,73,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the T cell receptor (TCR) signalling pathway and the Toll-like receptor (TLR5) signalling pathway. Reference: Rodr\'iguez-Jorge, Otoniel, Kempis-Calanis, Linda A., Abou-Jaoud\'e, Wassim, Guti\'errez-Reyna, Darely Y., Hernandez, C\'eline, Ramirez-Pliego, Oscar, Thomas-Chollier, Morgane, … (2019). Cooperation between t cell receptor and toll-like receptor 5 signaling for cd4+ t cell activation. Science Signaling, 12(577). http://dx.doi.org/10.1126/scisignal.aar3641"
exact_050,fuzix_utent_getutid.gr,43,53,0.3,computer science,github.com/freetdi/CFGs,A control-flow graph of a C function
exact_051,ENZYMES_g596.gr,45,91,0.7,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2018"
exact_052,KneserGraph_10_2.gr,45,630,3.5,named,github.com/freetdi/named-graphs,"Kneser graph KG(10,2), see https://en.wikipedia.org/wiki/Kneser_graph"
exact_053,mun04621.kgml.gr-0.gr,46,63,0.3,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""mun04621 NOD-like receptor signaling pathway - Meriones unguiculatus (Mongolian gerbil)""."
exact_054,Mast_cell_activation_Annotated_19oct2014.gr,47,67,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains a molecular map for the FceRI and FcgRIIb signalling pathways, which play a key role in mast cell activation in mammals. Reference: Niarakis, A., Bounab, Y., Grieco, L., Roncagalli, R., Hesse, A., Garin, J\'er\^ome, Malissen, B., … (2014). Computational modeling of the main signaling pathways involved in mast cell activation. In M. Daeron, & F. Nimmerjahn (Eds.), Fc Receptors (pp. 69–93). Cham: Springer International Publishing."
exact_055,COCAINE_JUANES.gr,49,85,0.5,social,sites.google.com/site/ucinetsoftware/datasets,"A covert network. Operation JUANES (N=51). In 2009, the police investigation detected a group involved in the smuggling of cocaine from Mexico to be distributed in Madrid (Spain). In this case, the group operated in close cooperation with another organization that was laundering the illegal income from drug distribution from this and other groups. The cocaine traffickers earned an estimated EUR 60 million."
exact_056,fpg00140.kgml.gr-4.gr,50,59,0.3,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""fpg00140 Steroid hormone biosynthesis - Falco peregrinus (peregrine falcon)""."
exact_057,random-cubic_50.gr,50,75,0.5,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_058,ENZYMES_g395.gr,50,98,0.7,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2012"
exact_059,SwitchedSquaredSkewHadamardMatrixGraph_2.gr,50,525,2.9,named,github.com/freetdi/named-graphs,The result of SwitchedSquaredSkewHadamardMatrixGraph(5) in sage.
exact_060,planted_weighted_cycle_11_4+22v+22e.gr,51,151,0.8,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_061,MAPK_large_19june2013.gr,53,100,0.6,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains the most crucial components of the Mitogen-Activated Protein Kinase (MAPK) network in bladder cancer cells. Reference: Grieco, L., Calzone, L., Bernard-Pierrot, Isabelle, Radvanyi, Fran\c cois, Kahn-Perl\`es, Brigitte, & Thieffry, D. (2013). Integrative modelling of the influence of mapk network on cancer cell fate decision. PLOS Computational Biology, 9(10), 1003286. http://dx.doi.org/10.1371/journal.pcbi.1003286"
exact_062,Lubiewice_Poland.gr,54,66,0.4,infrastracture,Open street maps,Lubiewice (Poland): a road network downloaded from open street maps using osmnx Python package
exact_063,ENZYMES_g598.gr,55,100,0.8,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2019"
exact_064,ENZYMES_g541.gr,57,79,0.6,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2016"
exact_065,planted_weighted_cycle_13_4+26v+26e.gr,57,153,0.9,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_066,myi00240.kgml.gr-0.gr,59,154,0.9,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""myi00240 Pyrimidine metabolism - Mizuhopecten yessoensis (Yesso scallop)""."
exact_067,Chomiąża_Poland.gr,60,72,0.5,infrastracture,Open street maps,Chomiąża (Poland): a road network downloaded from open street maps using osmnx Python package
exact_068,random-cubic_60.gr,60,90,0.5,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_069,planted_rand_tree_60+60e.gr,60,119,0.7,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_070,T_LGL.gr,60,176,1.0,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in survival signaling in large granular lymphocyte leukemia. Reference: Zhang, R., Shah, M. V., Yang, J., Nyland, S. B., Liu, X., Yun, J. K., Albert, R\'eka, … (2008). Network model of survival signaling in large granular lymphocyte leukemia. Proceedings of the National Academy of Sciences, 105(42), 16308–16313."
exact_071,ray00061.kgml.gr-0.gr,61,151,0.8,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""ray00051 Fructose and mannose metabolism - Rousettus aegyptiacus (Egyptian rousette)""."
exact_072,ENZYMES_g199.gr,62,108,0.8,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2007"
exact_073,dolphins_62.gr,62,159,1.7,social,www-personal.umich.edu/~mejn/netdata/,"Dolphin social network: an undirected social network of frequent associations between 62 dolphins in a community living off Doubtful Sound, New Zealand. Please cite D. Lusseau, K. Schneider, O. J. Boisseau, P. Haase, E. Slooten, and S. M. Dawson, Behavioral Ecology and Sociobiology 54, 396-405 (2003). Thanks to David Lusseau for permission to post these data on this web site."
